en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
Render properties;Render-eigenschappen;Propriétés de rendu;Render-Eigenschaften;Renderingsegenskaper;Właściwości renderowania;Renderingsegenskaper;Propiedades de renderizado;Proprietà di rendering;Propriedades de renderização;Renderēšanas īpašības;Rendavimo savybės
Changing the CRM Sharing type will affect 1 quotation.;Het wijzigen van het CRM-deeltype heeft invloed op 1 offerte.;Changer le type de partage CRM affectera 1 devis.;Die Änderung des CRM-Freigabetypen wirkt sich auf 1 Angebot aus.;Ändring av CRM-delningstypen kommer att påverka 1 offert.;Zmiana typu udostępniania CRM wpłynie na 1 ofertę.;Endring av CRM-delingstype vil påvirke 1 tilbud.;Cambiar el tipo de compartición de CRM afectará 1 cotización.;Cambiare il tipo di condivisione CRM influenzerà 1 preventivo.;Alterar o tipo de compartilhamento do CRM afetará 1 cotação.;CRM koplietošanas veida maiņa ietekmēs 1 piedāvājumu.;CRM dalijimosi tipo keitimas paveiks 1 pasiūlymą.
Does the formula contain any illegal characters?;Bevat de formule ongeldige tekens?;La formule contient-elle des caractères illégaux ?;Enthält die Formel ungültige Zeichen?;Innehåller formeln några ogiltiga tecken?;Czy formuła zawiera jakiekolwiek nielegalne znaki?;Inneholder formelen noen ulovlige tegn?;¿La fórmula contiene caracteres ilegales?;La formula contiene caratteri non validi?;A fórmula contém caracteres ilegais?;Vai formulā ir kādi nelikumīgi simboli?;Ar formulėje yra neteisėtų simbolių?
Default value;Standaardwaarde;Valeur par défaut;Standardwert;Standardvärde;Wartość domyślna;Standardverdi;Valor predeterminado;Valore predefinito;Valor padrão;Noklusējuma vērtība;Numatytoji vertė
Quantity Difference;Hoeveelheidsverschil;Différence de quantité;Mengenunterschied;Kvantitetsskillnad;Różnica ilości;Mengdeforskjell;Diferencia de cantidad;Differenza di quantità;Diferença de quantidade;Daudzuma atšķirība;Kiekio skirtumas
Copy step;Stap kopiëren;Copier l'étape;Schritt kopieren;Kopiera steg;Kopiuj krok;Kopier trinn;Copiar paso;Copia passaggio;Copiar etapa;Kopēt soli;Kopijuoti žingsnį
Show how other features affect this one;Toon hoe andere functies deze beïnvloeden;Montrez comment d'autres fonctionnalités affectent celle-ci;Zeigen Sie, wie andere Funktionen diese beeinflussen;Visa hur andra funktioner påverkar denna;Pokaż, jak inne funkcje wpływają na tę;Vis hvordan andre funksjoner påvirker denne;Muestra cómo otras funciones afectan a esta;Mostra come altre funzionalità influenzano questa;Mostre como outras funcionalidades afetam esta;Parādiet, kā citas funkcijas ietekmē šo;Parodykite, kaip kitos funkcijos veikia šią
More;Meer;Plus;Mehr;Mer;Więcej;Mer;Más;Di più;Mais;Vairāk;Daugiau
Choose sub-organizations with which you want to share your CRM Accounts:;Kies sub-organisaties waarmee je je CRM-accounts wilt delen:;Choisissez les sous-organisations avec lesquelles vous souhaitez partager vos comptes CRM :;Wählen Sie die Unterorganisationen aus, mit denen Sie Ihre CRM-Konten teilen möchten:;Välj underorganisationer som du vill dela dina CRM-konton med:;Wybierz suborganizacje, z którymi chcesz udostępnić swoje konta CRM:;Velg underorganisasjoner som du vil dele CRM-kontoene dine med:;Elija suborganizaciones con las que desea compartir sus cuentas de CRM:;Scegli le sotto-organizzazioni con cui desideri condividere i tuoi account CRM:;Escolha suborganizações com as quais deseja compartilhar suas contas de CRM:;Izvēlieties apakšorganizācijas, ar kurām vēlaties kopīgot savus CRM kontus:;Pasirinkite suborganizacijas, su kuriomis norite dalytis savo CRM paskyromis:
Searchbar (no dialog);Zoekbalk (geen dialoog);Barre de recherche (pas de dialogue);Suchleiste (kein Dialog);Sökfält (ingen dialog);Pasek wyszukiwania (bez dialogu);Søkelinje (ingen dialog);Barra de búsqueda (sin diálogo);Barra di ricerca (nessun dialogo);Barra de pesquisa (sem diálogo);Meklēšanas josla (nav dialoga);Paieškos juosta (be dialogo)
Preview in order entry;Voorbeeld in orderinvoer;Aperçu dans la saisie de commande;Vorschau im Auftragseingang;Förhandsgranskning i orderinmatning;Podgląd w wprowadzaniu zamówienia;Forhåndsvisning i ordreinngang;Vista previa en la entrada de pedidos;Anteprima nell'inserimento ordini;Pré-visualização na entrada de pedidos;Priekšskatījums pasūtījumu ievadē;Peržiūra užsakymų įvedime
Recommendation lines;Aanbevelingslijnen;Lignes de recommandation;Empfehlungslinien;Rekommendationslinjer;Linie rekomendacji;Anbefalingslinjer;Líneas de recomendación;Linee di raccomandazione;Linhas de recomendação;Ieteikumu līnijas;Rekomendacijų linijos
Sharing these CRM accounts will affect;Het delen van deze CRM-accounts zal invloed hebben;Le partage de ces comptes CRM aura un impact;Das Teilen dieser CRM-Konten wird Auswirkungen haben;Att dela dessa CRM-konton kommer att påverka;Udostępnienie tych kont CRM wpłynie na;Deling av disse CRM-kontoene vil påvirke;Compartir estas cuentas de CRM afectará;Condividere questi account CRM influenzerà;Compartilhar essas contas de CRM afetará;Šo CRM kontu koplietošana ietekmēs;Šių CRM paskyrų dalijimasis turės įtakos
reCAPTCHA secret key;reCAPTCHA geheime sleutel;clé secrète reCAPTCHA;reCAPTCHA-Geheimschlüssel;reCAPTCHA hemlig nyckel;tajny klucz reCAPTCHA;reCAPTCHA hemmelig nøkkel;clave secreta de reCAPTCHA;chiave segreta reCAPTCHA;chave secreta reCAPTCHA;reCAPTCHA slepenā atslēga;reCAPTCHA slapta raktas
Calculated max value on;Bereken de maximale waarde op;Valeur maximale calculée sur;Berechneter Maximalwert auf;Beräknat maxvärde på;Obliczona maksymalna wartość na;Beregnet maksimalverdi på;Valor máximo calculado en;Valore massimo calcolato su;Valor máximo calculado em;Aprēķinātā maksimālā vērtība uz;Apskaičiuota maksimali vertė ant
Background video;Achtergrondvideo;Vidéo d'arrière-plan;Hintergrundvideo;Bakgrundsvideo;Wideo w tle;Bakgrunnsvideo;Video de fondo;Video di sfondo;Vídeo de fundo;Fona video;Fono vaizdo įrašas
CRM Contact (optional);CRM Contact (optioneel);Contact CRM (optionnel);CRM-Kontakt (optional);CRM-kontakt (valfritt);Kontakt CRM (opcjonalnie);CRM-kontakt (valgfritt);Contacto CRM (opcional);Contatto CRM (opzionale);Contato CRM (opcional);CRM kontakts (pēc izvēles);CRM kontaktas (neprivalomas)
Please enter your work email*;Voer uw werk-e-mailadres in*;Veuillez entrer votre e-mail professionnel*;Bitte geben Sie Ihre Arbeits-E-Mail ein*;Vänligen ange din arbets-e-post*;Proszę wpisać swój służbowy adres e-mail*;Vennligst skriv inn din jobb-e-post*;Por favor, ingrese su correo electrónico de trabajo*;Si prega di inserire la propria email lavorativa*;Por favor, insira seu e-mail de trabalho*;Lūdzu, ievadiet savu darba e-pastu*;Prašome įvesti savo darbo el. paštą*
Apply Exact Online price settings;Pas Exact Online prijsinstellingen toe;Appliquer les paramètres de prix Exact Online;Exact Online Preis Einstellungen anwenden;Tillämpa Exact Online prisinställningar;Zastosuj ustawienia cen Exact Online;Bruk Exact Online prisinnstillinger;Aplicar configuraciones de precios de Exact Online;Applica le impostazioni dei prezzi di Exact Online;Aplicar configurações de preços do Exact Online;Piemērot Exact Online cenu iestatījumus;Taikyti Exact Online kainų nustatymus
Add find & replace;Voeg zoeken en vervangen toe;Ajouter rechercher et remplacer;Fügen Sie Suchen und Ersetzen hinzu;Lägg till sök och ersätt;Dodaj znajdź i zamień;Legg til søk og erstatt;Agregar buscar y reemplazar;Aggiungi cerca e sostituisci;Adicionar encontrar e substituir;Pievienot meklēšanu un aizvietošanu;Pridėti ieškoti ir pakeisti
Use expression;Gebruik expressie;Utiliser l'expression;Verwenden Sie den Ausdruck;Använd uttryck;Użyj wyrażenia;Bruk uttrykk;Usa la expresión;Usa l'espressione;Use a expressão;Izmantojiet izteiksmi;Naudokite išraišką
Set the reCAPTCHA site key to enable reCAPTCHA for custom interfaces.;Stel de reCAPTCHA-site sleutel in om reCAPTCHA voor aangepaste interfaces in te schakelen.;Définissez la clé de site reCAPTCHA pour activer reCAPTCHA pour les interfaces personnalisées.;Setzen Sie den reCAPTCHA-Site-Schlüssel, um reCAPTCHA für benutzerdefinierte Schnittstellen zu aktivieren.;Ställ in reCAPTCHA-webbnyckeln för att aktivera reCAPTCHA för anpassade gränssnitt.;Ustaw klucz witryny reCAPTCHA, aby włączyć reCAPTCHA dla niestandardowych interfejsów.;Sett reCAPTCHA-nettstednøkkelen for å aktivere reCAPTCHA for tilpassede grensesnitt.;Establezca la clave del sitio reCAPTCHA para habilitar reCAPTCHA para interfaces personalizadas.;Imposta la chiave del sito reCAPTCHA per abilitare reCAPTCHA per interfacce personalizzate.;Defina a chave do site reCAPTCHA para habilitar o reCAPTCHA para interfaces personalizadas.;Iestatiet reCAPTCHA vietnes atslēgu, lai iespējotu reCAPTCHA pielāgotām saskarnēm.;Nustatykite reCAPTCHA svetainės raktą, kad įjungtumėte reCAPTCHA pritaikytoms sąsajoms.
No scripts yet;Nog geen scripts;Pas de scripts encore;Noch keine Skripte;Inga skript än;Brak skryptów;Ingen skript ennå;No hay scripts aún;Nessuno script ancora;Ainda não há scripts;Vēl nav skriptu;Dar nėra scenarijų
Re-activate;Heractiveer;Réactiver;Reaktivieren;Återaktivera;Reaktywuj;Reaktiver;Reactivar;Riattivare;Reativar;Reaktivizēt;Reaktyvuoti
Other;Overig;Autre;Andere;Annat;Inne;Annet;Otro;Altro;Outro;Cits;Kitas
Configure what is shown on the checkout page when an anonymous or customer user creates a quotation.;Configureer wat er op de afrekenpagina wordt weergegeven wanneer een anonieme of klantgebruiker een offerte aanmaakt.;Configurez ce qui est affiché sur la page de paiement lorsqu'un utilisateur anonyme ou client crée un devis.;Konfigurieren Sie, was auf der Checkout-Seite angezeigt wird, wenn ein anonymer oder Kundenbenutzer ein Angebot erstellt.;Konfigurera vad som visas på kassan när en anonym eller kundanvändare skapar en offert.;Skonfiguruj, co jest wyświetlane na stronie kasy, gdy anonimowy lub klient użytkownik tworzy ofertę.;Konfigurer hva som vises på kassesiden når en anonym eller kunde bruker oppretter et tilbud.;Configura lo que se muestra en la página de pago cuando un usuario anónimo o cliente crea una cotización.;Configura cosa mostrare nella pagina di pagamento quando un utente anonimo o cliente crea un preventivo.;Configure o que é exibido na página de checkout quando um usuário anônimo ou cliente cria uma cotação.;Konfigurējiet, kas tiek rādīts norēķinu lapā, kad anonīms vai klienta lietotājs izveido piedāvājumu.;Konfigūruokite, kas rodomas atsiskaitymo puslapyje, kai anoniminis arba kliento vartotojas sukuria pasiūlymą.
Select the model version:;Selecteer de modelversie:;Sélectionnez la version du modèle :;Wählen Sie die Modellversion aus:;Välj modellversion:;Wybierz wersję modelu:;Velg modellversjon:;Seleccione la versión del modelo:;Seleziona la versione del modello:;Selecione a versão do modelo:;Izvēlieties modeļa versiju:;Pasirinkite modelio versiją:
this dynamic group contains:;deze dynamische groep bevat:;ce groupe dynamique contient :;diese dynamische Gruppe enthält:;denna dynamiska grupp innehåller:;ta dynamiczna grupa zawiera:;denne dynamiske gruppen inneholder:;este grupo dinámico contiene:;questo gruppo dinamico contiene:;este grupo dinâmico contém:;šī dinamiskā grupa satur:;šis dinaminis grupė apima:
Enforce SSO;Handhaaf SSO;Appliquer SSO;SSO durchsetzen;Tillämpa SSO;Wymuś SSO;Håndhev SSO;Hacer cumplir SSO;Applica SSO;Impor SSO;Piespiediet SSO;Taikyti SSO
Personal;Persoonlijk;Personnel;Persönlich;Personlig;Osobisty;Personlig;Personal;Personale;Pessoal;Personīgs;Asmeninis
Static value;Statische waarde;Valeur statique;Statischer Wert;Statisk värde;Wartość statyczna;Statisk verdi;Valor estático;Valore statico;Valor estático;Statiskā vērtība;Statinė vertė
Custom message displayed during maintenance.;Aangepaste boodschap weergegeven tijdens onderhoud.;Message personnalisé affiché pendant la maintenance.;Benutzerdefinierte Nachricht, die während der Wartung angezeigt wird.;Anpassat meddelande som visas under underhåll.;Niestandardowa wiadomość wyświetlana podczas konserwacji.;Egendefinert melding som vises under vedlikehold.;Mensaje personalizado mostrado durante el mantenimiento.;Messaggio personalizzato visualizzato durante la manutenzione.;Mensagem personalizada exibida durante a manutenção.;Pielāgota ziņa, kas tiek rādīta uzturēšanas laikā.;Pritaikytas pranešimas, rodomas priežiūros metu.
Select configuration model;Selecteer configuratiemodel;Sélectionner le modèle de configuration;Konfigurationsmodell auswählen;Välj konfigurationsmodell;Wybierz model konfiguracji;Velg konfigurasjonsmodell;Seleccionar modelo de configuración;Seleziona modello di configurazione;Selecionar modelo de configuração;Izvēlieties konfigurācijas modeli;Pasirinkite konfigūracijos modelį
Online Showroom;Online Showroom;Showroom en ligne;Online Showroom;Online Showroom;Pokój wystawowy online;Nettshowroom;Showroom en línea;Showroom online;Showroom online;Tiešsaistes izstāžu zāle;Internetinė parodų salė
Ip address;Ip-adres;Adresse IP;IP-Adresse;IP-adress;Adres IP;IP-adresse;Dirección IP;Indirizzo IP;Endereço IP;IP adrese;IP adresas
Generate new leads on my website;Genereer nieuwe leads op mijn website;Générez de nouveaux prospects sur mon site web;Generieren Sie neue Leads auf meiner Website;Generera nya leads på min webbplats;Generuj nowe leady na mojej stronie internetowej;Generer nye leads på nettstedet mitt;Generar nuevos leads en mi sitio web;Genera nuovi lead sul mio sito web;Gerar novos leads no meu site;Ģenerēt jaunus potenciālos klientus manā vietnē;Generuoti naujus potencialius klientus mano svetainėje
Do not add to quotation;Voeg niet toe aan de offerte;Ne pas ajouter au devis;Nicht zum Angebot hinzufügen;Lägg inte till i offerten;Nie dodawaj do wyceny;Ikke legg til i tilbudet;No añadir a la cotización;Non aggiungere alla quotazione;Não adicionar à cotação;Nepievienot piedāvājumam;Nedėti į pasiūlymą
Add recommendation;Voeg aanbeveling toe;Ajouter une recommandation;Empfehlung hinzufügen;Lägg till rekommendation;Dodaj rekomendację;Legg til anbefaling;Agregar recomendación;Aggiungi raccomandazione;Adicionar recomendação;Pievienot ieteikumu;Pridėti rekomendaciją
Hide errors;Fouten verbergen;Masquer les erreurs;Fehler ausblenden;Dölj fel;Ukryj błędy;Skjul feil;Ocultar errores;Nascondi errori;Ocultar erros;Slēpt kļūdas;Slėpti klaidas
Ignore;Negeer;Ignorer;Ignorieren;Ignorera;Ignoruj;Ignorer;Ignorar;Ignora;Ignorar;Ignorēt;Ignoruoti
Get Matched;Gekoppeld worden;Correspondre;Zugeordnet werden;Bli matchad;Dopasuj;Bli matchet;Ser emparejado;Essere abbinati;Ser emparelhado;Saskaņot;Būti suderintam
